image,status,has_pipe,ball_count,best_score,cx,cy,radius,bbox_x1,bbox_y1,bbox_w,bbox_h
000024.jpg,labeled,1,1,0.810,944.9,335.8,20.4,929.0,316.0,36.0,41.0
000025.jpg,labeled,1,1,0.918,952.1,343.8,21.4,936.0,323.0,36.0,42.0
000026.jpg,labeled,1,2,0.808,957.2,340.6,21.5,941.0,320.0,36.0,43.0
000027.jpg,labeled,1,1,0.913,960.9,341.3,21.3,945.0,321.0,36.0,42.0
000028.jpg,labeled,1,1,0.813,959.7,341.8,21.3,943.0,321.0,37.0,43.0
000029.jpg,labeled,1,2,0.815,958.5,342.7,21.4,942.0,322.0,37.0,43.0
000030.jpg,labeled,1,1,0.933,961.1,345.5,21.1,945.0,325.0,36.0,42.0
000031.jpg,labeled,1,1,0.931,962.5,349.0,21.4,946.0,329.0,36.0,42.0
000032.jpg,labeled,1,1,0.937,962.7,349.3,21.2,947.0,329.0,35.0,42.0
000033.jpg,labeled,1,1,0.934,962.5,347.1,21.1,946.0,327.0,37.0,42.0
000034.jpg,labeled,1,1,0.934,957.9,346.2,21.0,942.0,326.0,36.0,42.0
000035.jpg,labeled,1,2,0.917,947.3,347.8,22.0,930.0,326.0,37.0,42.0
000036.jpg,labeled,1,2,0.927,931.4,349.3,21.5,914.0,328.0,36.0,42.0
000037.jpg,labeled,1,2,0.927,914.1,350.6,21.2,896.0,330.0,37.0,42.0
000038.jpg,labeled,1,1,0.939,893.5,351.0,20.8,877.0,331.0,36.0,41.0
000039.jpg,labeled,1,2,0.950,874.0,349.0,20.6,857.0,329.0,36.0,41.0
000040.jpg,labeled,1,1,0.945,850.5,348.4,20.9,834.0,328.0,36.0,41.0
000041.jpg,labeled,1,1,0.956,824.2,348.8,20.6,808.0,330.0,36.0,40.0
000042.jpg,labeled,1,1,0.961,797.8,349.0,20.7,781.0,329.0,35.0,41.0
000043.jpg,labeled,1,1,0.963,767.4,348.5,20.6,751.0,329.0,36.0,41.0
000044.jpg,labeled,1,2,0.973,734.3,348.7,20.2,719.0,329.0,35.0,40.0
000045.jpg,labeled,1,1,0.983,701.1,348.6,20.0,684.0,330.0,36.0,39.0
000046.jpg,labeled,1,2,0.989,671.1,346.8,19.4,653.0,328.0,35.0,39.0
000047.jpg,labeled,1,1,0.991,640.0,346.9,19.3,621.0,328.0,36.0,39.0
000048.jpg,labeled,1,2,0.992,609.9,348.7,19.3,592.0,330.0,36.0,39.0
000049.jpg,labeled,1,2,0.999,584.8,348.2,18.5,568.0,330.0,35.0,37.0
000050.jpg,labeled,1,2,1.000,563.1,349.8,18.2,546.0,332.0,34.0,36.0
000051.jpg,labeled,1,2,1.000,539.4,352.3,17.0,523.0,336.0,34.0,33.0
000052.jpg,labeled,1,2,0.900,516.9,348.3,17.3,501.0,333.0,34.0,32.0
000053.jpg,labeled,1,2,1.000,495.5,345.7,16.7,480.0,330.0,33.0,32.0
000054.jpg,labeled,1,1,1.000,472.7,344.3,17.0,456.0,328.0,34.0,32.0
000055.jpg,labeled,1,1,0.998,449.0,339.0,17.8,433.0,324.0,33.0,32.0
000056.jpg,labeled,1,2,0.899,426.2,337.5,17.9,410.0,323.0,34.0,30.0
000057.jpg,labeled,1,3,0.898,406.5,337.7,18.0,390.0,322.0,35.0,29.0
000058.jpg,labeled,1,2,0.890,388.0,338.2,19.1,369.0,321.0,39.0,30.0
000059.jpg,labeled,1,1,0.884,373.8,323.4,18.4,356.0,307.0,37.0,28.0
000060.jpg,labeled,1,1,0.890,363.8,323.3,18.4,346.0,307.0,37.0,28.0
000061.jpg,labeled,1,1,0.995,357.5,332.5,18.8,339.0,317.0,38.0,27.0
000062.jpg,labeled,1,1,0.898,354.4,328.8,18.6,336.0,311.0,38.0,29.0
000063.jpg,labeled,1,1,0.996,354.2,331.5,18.8,336.0,315.0,38.0,28.0
000064.jpg,labeled,1,1,0.996,359.0,333.5,19.1,340.0,317.0,39.0,29.0
000065.jpg,labeled,1,3,0.994,368.0,330.5,18.6,351.0,316.0,36.0,29.0
000066.jpg,labeled,1,2,0.997,378.8,333.6,18.4,362.0,318.0,36.0,31.0
000067.jpg,labeled,1,2,1.000,393.1,337.0,18.0,376.0,322.0,36.0,30.0
000068.jpg,labeled,1,1,1.000,411.7,344.0,17.7,394.0,328.0,36.0,30.0
000069.jpg,labeled,1,1,1.000,437.5,347.5,17.8,420.0,331.0,36.0,31.0
000070.jpg,labeled,1,1,0.998,467.4,346.5,17.8,450.0,331.0,36.0,32.0
000071.jpg,labeled,1,1,1.000,498.0,350.7,18.2,480.0,333.0,37.0,30.0
000072.jpg,labeled,1,1,0.899,534.0,352.5,18.2,516.0,335.0,36.0,31.0
000073.jpg,labeled,1,2,0.900,572.2,354.8,18.0,555.0,339.0,35.0,33.0
000074.jpg,labeled,1,1,0.995,614.3,353.6,18.7,597.0,336.0,36.0,37.0
000075.jpg,labeled,1,1,0.980,658.0,352.7,19.5,641.0,335.0,34.0,37.0
000076.jpg,labeled,1,1,0.880,702.5,349.1,19.1,686.0,331.0,33.0,37.0
000077.jpg,labeled,1,1,0.869,746.6,343.9,19.5,730.0,325.0,34.0,39.0
000078.jpg,labeled,1,2,0.951,789.7,340.4,19.9,774.0,322.0,35.0,39.0
000079.jpg,labeled,1,1,0.842,833.5,339.6,20.0,816.0,323.0,36.0,37.0
000080.jpg,labeled,1,1,0.839,877.0,338.5,19.9,860.0,321.0,36.0,38.0
000081.jpg,labeled,1,2,0.925,918.3,339.1,20.3,902.0,321.0,36.0,39.0
000082.jpg,labeled,1,2,0.922,954.2,341.7,20.5,938.0,324.0,35.0,38.0
000083.jpg,labeled,1,2,0.928,983.5,345.1,20.6,967.0,325.0,36.0,41.0
000084.jpg,labeled,1,2,0.816,1001.7,348.9,20.9,986.0,331.0,36.0,39.0
000085.jpg,labeled,1,2,0.920,1014.0,348.9,20.3,998.0,329.0,35.0,41.0
000086.jpg,labeled,1,2,0.919,1021.5,349.0,20.1,1005.0,329.0,36.0,40.0
000087.jpg,labeled,1,2,0.915,1021.0,349.5,20.5,1004.0,329.0,36.0,42.0
000088.jpg,labeled,1,2,0.915,1014.8,351.3,20.7,998.0,331.0,36.0,41.0
000089.jpg,labeled,1,2,0.916,1005.5,349.9,20.6,989.0,330.0,36.0,41.0
000090.jpg,labeled,1,1,0.923,991.6,349.5,20.6,974.0,329.0,36.0,42.0
000091.jpg,labeled,1,2,0.926,970.0,350.5,20.6,953.0,330.0,36.0,42.0
000092.jpg,labeled,1,2,0.935,949.5,350.9,20.3,931.0,332.0,36.0,40.0
000093.jpg,labeled,1,2,0.922,925.1,348.0,21.0,909.0,328.0,36.0,42.0
000094.jpg,labeled,1,2,0.834,896.8,350.4,20.6,880.0,331.0,36.0,41.0
000095.jpg,labeled,1,2,0.940,864.8,349.7,20.7,849.0,330.0,35.0,41.0
000096.jpg,labeled,1,2,0.843,831.0,349.8,20.4,815.0,330.0,35.0,41.0
000097.jpg,labeled,1,2,0.947,794.1,350.6,20.7,779.0,331.0,34.0,41.0
000098.jpg,labeled,1,2,0.975,750.3,348.1,19.5,734.0,329.0,34.0,39.0
000099.jpg,labeled,1,2,0.983,710.1,348.7,19.1,694.0,330.0,34.0,38.0
000100.jpg,labeled,1,1,0.988,670.2,348.3,18.6,653.0,330.0,34.0,37.0
000101.jpg,labeled,1,2,0.997,630.5,346.1,18.3,613.0,329.0,34.0,36.0
000102.jpg,labeled,1,2,0.900,589.3,345.2,18.0,572.0,328.0,36.0,36.0
000103.jpg,labeled,1,2,0.900,549.9,345.2,18.2,532.0,329.0,37.0,34.0
000104.jpg,labeled,1,2,1.000,509.8,345.3,17.8,492.0,328.0,36.0,34.0
000105.jpg,labeled,1,3,0.999,469.7,344.0,17.7,453.0,328.0,34.0,32.0
000106.jpg,labeled,1,2,1.000,432.5,345.7,18.0,415.0,329.0,36.0,29.0
000107.jpg,labeled,1,2,1.000,396.3,343.5,17.9,380.0,329.0,35.0,29.0
000108.jpg,labeled,1,3,0.996,360.5,342.5,18.1,344.0,328.0,35.0,31.0
000109.jpg,labeled,1,2,1.000,324.5,345.5,17.7,308.0,330.0,35.0,29.0
000110.jpg,labeled,1,2,1.000,289.6,348.0,17.9,272.0,331.0,36.0,32.0
000111.jpg,labeled,1,2,0.998,255.7,349.0,17.8,238.0,332.0,36.0,34.0
000112.jpg,labeled,1,2,0.892,224.0,360.7,19.2,205.0,345.0,38.0,35.0
000113.jpg,labeled,1,1,0.973,199.6,343.2,20.2,181.0,328.0,38.0,36.0
000114.jpg,labeled,1,1,0.979,182.3,338.8,19.7,163.0,323.0,39.0,36.0
000115.jpg,labeled,1,2,0.968,173.7,339.3,20.7,156.0,323.0,37.0,37.0
000116.jpg,labeled,1,2,0.971,175.7,341.8,20.4,157.0,325.0,38.0,38.0
000117.jpg,labeled,1,2,0.972,183.5,344.5,20.4,165.0,328.0,38.0,37.0
000118.jpg,labeled,1,2,0.985,196.8,346.8,19.8,178.0,330.0,39.0,37.0
000119.jpg,labeled,1,2,0.985,214.1,349.9,19.8,195.0,333.0,39.0,37.0
000120.jpg,labeled,1,1,0.988,236.0,351.0,19.7,217.0,334.0,38.0,35.0
000121.jpg,labeled,1,2,0.999,263.2,353.3,18.8,245.0,336.0,38.0,34.0
000122.jpg,labeled,1,2,0.997,294.5,356.9,18.9,276.0,340.0,38.0,33.0
000123.jpg,labeled,1,2,0.995,326.0,354.0,19.2,308.0,339.0,37.0,30.0
000124.jpg,labeled,1,2,1.000,361.5,353.0,18.9,343.0,336.0,38.0,30.0
000125.jpg,labeled,1,2,0.889,400.1,350.0,19.0,383.0,335.0,37.0,30.0
000126.jpg,labeled,1,2,0.889,439.7,356.4,18.9,422.0,341.0,37.0,31.0
000127.jpg,labeled,1,2,0.993,482.7,357.4,18.5,465.0,342.0,37.0,33.0
000128.jpg,labeled,1,2,1.000,528.7,357.3,18.0,512.0,341.0,35.0,34.0
000129.jpg,labeled,1,2,1.000,576.4,354.1,18.2,559.0,337.0,35.0,36.0
000130.jpg,labeled,1,2,0.996,624.0,352.7,19.1,606.0,334.0,35.0,38.0
000131.jpg,labeled,1,2,0.990,670.5,351.5,18.7,652.0,335.0,35.0,36.0
000132.jpg,labeled,1,2,0.974,718.1,351.2,19.9,699.0,332.0,35.0,40.0
000133.jpg,labeled,1,1,0.979,764.3,356.1,20.0,746.0,337.0,35.0,40.0
000134.jpg,labeled,1,2,0.970,811.8,354.2,20.0,793.0,336.0,35.0,39.0
000135.jpg,labeled,1,2,0.964,853.4,353.3,20.2,838.0,335.0,35.0,39.0
000136.jpg,labeled,1,1,0.961,890.8,353.7,20.3,874.0,336.0,36.0,39.0
000137.jpg,labeled,1,2,0.949,923.8,352.1,20.6,906.0,334.0,37.0,39.0
000138.jpg,labeled,1,1,0.940,951.5,349.0,21.0,934.0,329.0,36.0,41.0
000139.jpg,labeled,1,1,0.845,971.3,349.3,20.7,954.0,331.0,36.0,39.0
000140.jpg,labeled,1,2,0.939,983.5,349.5,20.8,967.0,330.0,36.0,41.0
000141.jpg,labeled,1,3,0.942,990.0,349.5,20.7,974.0,329.0,35.0,42.0
000142.jpg,labeled,1,2,0.926,990.5,351.0,21.4,973.0,331.0,36.0,41.0
000143.jpg,labeled,1,1,0.930,986.3,350.6,21.5,968.0,332.0,37.0,41.0
000144.jpg,labeled,1,2,0.933,974.5,348.5,21.0,957.0,328.0,37.0,42.0
000145.jpg,labeled,1,1,0.854,933.6,318.2,19.9,915.0,299.0,35.0,40.0
000146.jpg,labeled,1,1,0.955,932.4,285.4,19.9,916.0,268.0,36.0,38.0
000147.jpg,labeled,1,1,0.934,920.0,278.5,20.4,904.0,259.0,36.0,40.0
000148.jpg,labeled,1,1,0.843,905.6,278.4,20.4,890.0,260.0,36.0,39.0
000149.jpg,labeled,1,1,0.938,893.5,276.3,20.2,878.0,258.0,35.0,39.0
000150.jpg,labeled,1,1,0.946,883.2,281.2,20.0,867.0,264.0,35.0,38.0
000151.jpg,labeled,1,1,0.832,883.5,285.5,20.7,867.0,267.0,36.0,40.0
000152.jpg,labeled,1,1,0.833,882.3,288.7,20.4,866.0,269.0,36.0,41.0
000153.jpg,labeled,1,1,0.838,880.6,292.0,20.4,864.0,274.0,36.0,38.0
000154.jpg,labeled,1,1,0.938,882.0,294.9,20.2,865.0,277.0,37.0,39.0
000155.jpg,labeled,1,1,0.839,882.5,300.4,20.3,866.0,282.0,37.0,39.0
000156.jpg,labeled,1,1,0.832,882.7,305.3,20.7,866.0,286.0,37.0,41.0
000157.jpg,labeled,1,1,0.932,883.8,307.3,20.6,868.0,288.0,36.0,40.0
000158.jpg,labeled,1,1,0.941,886.0,306.4,19.7,868.0,288.0,36.0,38.0
